,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
46,36.27,0.58,35.6,0.75,partly-cloudy-night,0.0,0.0,,Partly Cloudy,43.1,1333065600,0,6.22,300.0,,13.43
47,52.82,,37.41,0.56,clear-night,0.0,0.0,,Clear,52.82,1334102400,0,6.21,159.0,12.01,8.56
48,34.82,,33.0,0.93,clear-night,0.0,0.0,,Clear,34.82,1319241600,0,6.22,,2.01,0.0
49,44.57,,37.4,0.76,clear-night,0.0,0.0,,Clear,44.57,1334966400,0,6.21,170.0,,1.02
50,68.68,,64.39,0.88,clear-night,0.0,0.0,,Clear,68.04,1314316800,0,6.21,101.0,6.91,6.91
51,73.13,,64.31,0.75,clear-night,0.0,0.0,,Clear,72.63,1312675200,0,6.21,161.0,12.01,9.21
52,41.79,0.75,46.41,0.93,wind,0.0,0.0,,Breezy and Mostly Cloudy,48.24,1330041600,0,3.11,259.0,18.0,17.57
53,30.59,0.75,34.38,0.83,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,39.25,1324166400,0,6.22,270.0,16.0,15.95
54,65.43,,50.78,0.59,clear-night,0.0,0.0,,Clear,65.43,1310860800,0,6.21,140.0,12.01,10.35
55,52.82,,37.41,0.56,clear-night,0.0,0.0,,Clear,52.82,1334102400,0,6.21,159.0,12.01,8.56
56,40.81,,42.8,0.96,fog,0.0,0.0,,Foggy,43.83,1320537600,0,1.88,60.0,5.23,5.23
57,5.24,,0.63,0.81,clear-night,0.0,0.0,,Clear,5.24,1329004800,0,6.21,326.0,2.01,1.04
58,69.38,,62.46,0.8,clear-night,0.0,0.0,,Clear,69.04,1313971200,0,6.21,195.0,4.0,3.92
59,31.37,,32.8,0.85,clear-night,0.0,0.0,,Clear,36.83,1319328000,0,6.21,120.0,8.99,6.91
60,53.63,0.75,51.79,0.93,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,53.63,1315526400,0,6.22,270.0,9.21,8.84
61,30.9,0.75,28.26,0.69,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,37.43,1333238400,0,6.22,303.0,9.06,9.06
62,51.02,,47.02,0.86,clear-night,0.0,0.0,,Clear,51.02,1316908800,0,6.21,80.0,2.29,2.19
63,51.02,,38.41,0.62,clear-night,0.0,0.0,,Clear,51.02,1334880000,0,6.21,55.0,4.0,3.99
64,34.25,,36.59,0.96,clear-night,0.0,0.0,,Clear,37.64,1322179200,0,4.83,184.0,4.61,4.36
65,39.3,,36.81,0.82,clear-night,0.0,0.0,,Clear,41.84,1332633600,0,6.21,327.0,4.16,4.16
66,39.45,1.0,37.61,0.83,rain,0.0167,0.57,rain,Light Rain,42.42,1336262400,0,6.22,0.0,4.99,4.82
67,28.77,,28.71,0.83,clear-night,0.0,0.0,,Clear,33.43,1331251200,0,6.21,270.0,4.99,4.98
68,42.73,,42.8,0.9,clear-night,0.0,0.0,,Clear,45.63,1320624000,0,6.21,42.0,5.74,5.55
69,57.23,0.75,56.22,0.96,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,57.23,1315612800,0,4.69,115.0,2.09,2.09
70,35.48,,34.89,0.87,clear-night,0.0,0.0,,Clear,38.44,1318550400,0,6.21,343.0,4.04,4.04
